Taxa,Freq. of Occ.,Distribution,Prevalence
Ceratophyllum demersum,23874,191,93.62745098
Stuckenia pectinata,3452,159,77.94117647
Chara,12190,158,77.45098039
Elodea canadensis,7295,149,73.03921569
Potamogeton zosteriformis,7039,148,72.54901961
Myriophyllum sibiricum,6600,144,70.58823529
Potamogeton crispus,13189,142,69.60784314
Potamogeton richardsonii,2489,126,61.76470588
Nymphaea odorata,3514,125,61.2745098
Najas flexilis,3554,120,58.82352941
Potamogeton praelongus,2952,117,57.35294118
Heteranthera dubia,1726,115,56.37254902
Vallisneria americana,3365,115,56.37254902
Potamogeton illinoensis,1648,97,47.54901961
Nuphar variegata,1362,94,46.07843137
Potamogeton amplifolius,1554,91,44.60784314
Lemna trisulca,6463,87,42.64705882
Utricularia vulgaris,1626,75,36.76470588
Myriophyllum spicatum,6907,72,35.29411765
Potamogeton gramineus,1052,63,30.88235294
Bidens beckii,781,62,30.39215686
Potamogeton natans,515,61,29.90196078
Potamogeton friesii,1333,56,27.45098039
Sagittaria,237,52,25.49019608
Spirodela polyrhiza,567,49,24.01960784
Potamogeton foliosus,848,48,23.52941176
Potamogeton robbinsii,1929,46,22.54901961
Lemna minor,1068,45,22.05882353
Potamogeton pusillus,1099,45,22.05882353
Najas guadalupensis,1567,40,19.60784314
Zizania palustris,749,39,19.11764706
Eleocharis,260,36,17.64705882
Eleocharis acicularis,167,34,16.66666667
Nymphaea,489,27,13.23529412
Lemna,195,26,12.74509804
Zannichellia palustris,313,26,12.74509804
Brasenia schreberi,214,24,11.76470588
Nitella,290,24,11.76470588
Ranunculus aquatilis,256,23,11.2745098
Utricularia,403,22,10.78431373
Sparganium,116,21,10.29411765